etiqueta	texto
sorpresa	Cartuchos extremos: escuela de Utah photoshopea anuario para que alumnas muestren menos piel
sorpresa	Seis homosexuales marroquíes condenados a penas de hasta 3 años de cárcel
sorpresa	Aerosmith cancela concierto en Californa por problemas cardíacos de su baterista
sorpresa	Más de 300 mil chilenos tienen su cédula de identidad vencida: vigencia dura hasta el 30 de septiembre
sorpresa	"Astrónomos descubren al ""Godzilla"" de los planetas que orbitan estrellas lejanas"
sorpresa	Llega a Ecuador, acusado de violación, el padre del vicepresidente del país
sorpresa	Falso aviso de bomba obliga evacuación de colegio Hebreo de Viña del Mar
sorpresa	Diseñaron un gorro que permite pilotar aviones con la mente
sorpresa	Indígenas amazónicos en histórico juicio en Perú por muerte de policías
sorpresa	"Eliseo Salazar: ""Cinco minutos en el podio valen tres meses en el hospital"""
sorpresa	Hallan en Malasia diente de dinosaurio de hace 140 millones de años
sorpresa	Los impresionantes edificios bajo tierra en Ciudad de México
sorpresa	"Samsung Electronics admite que perspectivas para el segundo trimestre ""no son buenas"""
sorpresa	Pizarro previo a Día del Pisco: 'Regiones pisqueras deben ser tratadas en forma especial'
sorpresa	Hombre se declara culpable de reingreso a EEUU
sorpresa	¡Impresionante!: se toman la primera selfie sobre el Cristo Redentor
sorpresa	Johnny Depp da más susto pelado que como el Joven Manos de Tijera
sorpresa	Acciones de LATAM Airlines caen tras inesperadas pérdidas en 1er trim
sorpresa	Padrastro de Kim Kardashian alista programa donde mostrará su cambio de género
sorpresa	"Actualización de ""FireChat"" permite conversaciones entre usuarios Android y iOS, sin internet"
sorpresa	"El Gobierno uruguayo se prepara para entregar una ""tablet"" a cada jubilado"
sorpresa	Conoce a Obie, el perro que bajó 23 kilos
sorpresa	Demasiado fanático: se cortó el pelo con el rostro de Messi
sorpresa	Pacman humano se come un bife de dos kilos en cinco minutos
sorpresa	Menos en EEUU buscan ayuda por desempleo
sorpresa	Muerte de candidato socialista provoca giro radical en escenario electoral en Brasil
sorpresa	El escándalo de los falsos perros guía en Estados Unidos
sorpresa	Arribo de turistas a Chile crece sólo 0,6% por menor llegada desde Argentina y Brasil
sorpresa	Conoce la cafetería de California que ofrece compañía felina
sorpresa	El Chascas dedica libro de cuentos al sida
sorpresa	30 millones de usuarios de Facebook… ¡están muertos!
sorpresa	Avión de Bono pierde su escotilla trasera en pleno viaje a Berlín
sorpresa	Hombre busca novia en Facebook y lo rechazan 5 mil mujeres
sorpresa	Alitalia confirma suspensión de vuelos a Venezuela
sorpresa	La Calera: Formalizan a abogada por inducir a desacato
sorpresa	Ex sacerdote jesuita es detenido por porte de arma de fuego
sorpresa	Gobierno argentino cuestiona a Poder Judicial tras criticas de juez supremo
sorpresa	El reloj del Congreso de Bolivia gira sus agujas hacia la izquierda
sorpresa	"El doc de ""Volver al Futuro"" y Black Canary de ""Arrow"", pasearon por La Moneda"
sorpresa	Dólar cerró al alza presionado por negativo escenario externo
sorpresa	Falla en Siri permite desbloquear iOS y hacer llamadas
sorpresa	"Gobierno argentino denuncia ""campaña"" en su contra por inseguridad"
sorpresa	Modelo argentina y Google confrontan posturas en audiencia de Corte Suprema
sorpresa	"¿Faltarán 48 años aún? Sevilla gana la Europa League y alarga ""maldición"" de Benfica"
sorpresa	Conoce todas las prenóminas de las selecciones que participarán en Brasil 2014
sorpresa	¡Increíble!: diseñan material que vuelve imperceptible al tacto todo lo que cubre
sorpresa	"Joven muere al intentar el ""Ice Bucket Challenge"" en Escocia"
sorpresa	¡Impresionante!: conoce al primer perro-pájaro del mundo
sorpresa	Británico Cameron dice que no dimitirá si Escocia vota a favor de la independencia
sorpresa	Apple Watch no funcionaría bien en las muñecas tatuadas
sorpresa	Estudio vincula el consumo de Omega 3 con la capacidad para dejar de fumar
sorpresa	Presidente de Paraguay insultado mientras presidía actos por el Día de la Independencia
sorpresa	Entró a robar a una casa y lo detuvieron porque dejó su cuenta de Facebook abierta
