disgust	antes tenia mensajes sin contestar ahora tengo y entre mas se juntan mas me da hueva abrirlos y mas pena contestarlos frustrado
surprise	cuando me preguntan por que no me quedo con cosas de accesorios es porque no me dan tiempo a quedarme con algo desconcertado vuela to
anger	ni nada bien pues ahora mismo mi hija tiene fiebre y ahora que pues a denunciar a estos medicos y enfermeras que nos proporcionaron un trato malisimo y despectivo bueno este es salud no responde y la gente que te atiende tampoco enfadado enfadado enfadado enfadado
joy	buen dia ya se va acercando el dia en el que hare mis ediciones navidenas el ano pasado faltaron por muchas razones pero este no faltaran ni las navidenas ni las de fin de ano bengala navidad noel claus confeti
disgust	el mayor problema que tiene la humanidad actualmente no es la ignorancia la pobreza o la falta de union es la idiotez masiva y no me cansare de expresarlo frustrado
disgust	entre los mosquito y el calor me hacen poner de muy mal humor frustrado
surprise	quiero hacerle un gol a tu corazon pero no me lo atajes por favor nota avergonzado
surprise	viene juana viene mari avergonzado
trust	querido papa noel este ano me he portado muy bien pero no quiero que me traigas nada al contrario te agradeceria si pudieras llevarte el covid de una vez por todas orar orar orar orar orar muchas gracias relajado
anticipation	soy el unico que esperaba mas de la pelicula spiderman pensativo
fear	hoy veo spiderman ansioso
disgust	el chaparron que esta cayendo malpensados frustrado
fear	me cago en la puta tengo el y sale el que quinto premio mas rico hubiese sido ansioso
trust	dia triste pulgar
disgust	como que tengo turno para ir a colocarme la 3er dosis frustrado solo voy a ir por si levanto fiebre el no aparezco jajajaj
joy	miralo eh miralo eh es el equipo de ibague notas fiesta
surprise	juju lo que va a ser que a pasao remix desconcertado
joy	a mi el gordo de la navidad me toca contigo cada ano desde que nos conocimos chiquitina adorar
surprise	lo gonorrea de sonar con alguien es que queda uno pensando en esa persona todo el fucking dia desconcertado
fear	otra noche de perros ansioso
anger	hoy hace un mes justo que llevo esperando a que tras la finalizacion de mi contrato me envien los papeles y me ingresen el dinero cabreado
sadness	loco puede ser que disney haga peliculas tan profundas me van a matarrrr triste triste
sadness	feliz cumpleanos louis relajado triste triste
disgust	que atacadita y de mal humor me levante frustrado no se cruzen ni me busquen hoy e
disgust	hoy comienza la payasada humana del gobierno frustrado
trust	chismear con julia fue lo mejor aprobacion
sadness	yo iba estar feliz esta navidad agotado pero la proxima sera relajado
disgust	no he parido y y ya ando levantandome cada dos horas frustrado
anger	desde hoy habra que descontarle un minuto al dia y agregarle un minuto a la noche maldecir
joy	hoy me desperte con la noticia de que me habian aprobado la visa un buen regalo de cumpleanos si me lo preguntan fiesta
trust	pero esta bien no voy a demostrar q me afecta pulgar pulgar pulgar pulgar
fear	aun es miercoles ansioso
joy	las indirectas muy directas de twitter divertido
anger	pues nada este sabado actuaba en moma salamanca y el covid de nuevo vuelve enfadado
anger	me estoy enterando que rodolfo el reno se llama petteri aca en finlandia puros enganos no se puede confiar en nadie verdaderamente cabreado
surprise	como olvidar cuando tonhonchonlatee se ponia raro cada que usabamos el p para ton y chon avergonzado es que el espanol es una cosa barbara
anger	va hacer casi un ano que no me tatuo y necesito ya uno enfadado
trust	que onda esa gente que toma birra a la manana buen desayuno amigo pulgar
fear	aterrado me ha tocado aterrado me ha tocadoooo aterrado aterrado me ha tocado aterrado me ha tocadoooo aterrado aterrado me ha tocado aterrado me ha tocadoooo aterrado me ha tocado la suerte de ser un desgraciado comparte si a ti tambien
disgust	y os sorprende pillar covid despues de la gamergy frustrado
anticipation	me compre hace un tiempo atras un perfume channel en la zofri me salio cara dije ctm la huea cara pero no importa trabajo y me saco la cresta ayer fui al mall en chillan mismo perfume channel pregunte valor y me dijo la nina
anger	es que aun no pude ver ni el ni el enfadado pero lo que subieron hoy menos mal que tiene sus en ingles
sadness	gracias por existir ser mi amigui aqui y compartir juntas este amor por los chicos mereces toda la felicidad del mundo porque tu haces felices a muchas personas espero la pases super bien hoy y disfrutes mucho tu dia implorando relajado
anticipation	hola buen dia ya aparecio el narco gober de jalisco pensativo
sadness	me estoy empezando pequenas mentirosas triste
fear	me ha tocadoo aterrado me ha tocadoo aterrado me ha tocadoo aterrado me ha tocadoo aterrado me ha tocadoo aterrado me ha tocadoo aterrado me ha tocado las ganas de volver a verte
anger	que inferno caraaaa cabreado cabreado cabreado cabreado
disgust	men frustrado amirite
trust	m he peleado con unas d mi clase acuerdo
fear	aterrado te ha tocado aterrado te ha tocado aterrado te ha tocado aterrado te ha tocado aterrado te ha tocado aterrado te ha tocado aterrado te ha tocado aterrado te ha tocado este gordo podria ser tuyo bebe
anger	como que mi mejor amiga viene en navidad a ver a su familia y no a mi enfadado enfadado
surprise	el nivel de conexion que tengo con mi vieja hoy supero completamente los limites miedo les juro avergonzado
trust	 tengo en el banco aprobacion
fear	ayuda sone q vivia en estados unidos ansioso ansioso ansioso
disgust	pues a ver si hay suerte y vuelve a funcionar el agua caliente frustrado
disgust	como se me pego esa cancion jajaja ya la escuche veces frustrado
fear	estamos en invierno pero hoy la casa esta mas fria que siempre ansioso congelada
fear	mi crush de cuando era nina me acaba de decir anos despues que yo fui su crush toda la primaria aterrado aterrado aterrado jaja lo que son las cosas
surprise	hey senti este diciembre volandooo avergonzado
trust	lian li noctua acuerdo tratar bien a sus clientes
trust	me afastar antes q me afaste pulgar
anger	vaya mierda de clima paris enfadado
sadness	mi corazoncito en mil pedazos relajado partido agradecido
anticipation	pensamiento on live use el galaxy hasta mi segundo ano de secundaria quiero cambiar el galaxy note estoy buscando opiniones en este momento
surprise	ayer una amiga no estaba mostrando las tetas y la abuela nos vio que pena avergonzado
anticipation	papo de r10 cara
anger	busco novio para el enfadado pa subir fotos con el y poner la cancion del raul alejandro enfadado enfadado solo gente seria aqui
anger	aca a que pueda ir al banco ahora cabreado
trust	y tendre enero y febrero con fuel fandango leon benavente y rufus aprobacion
trust	el ano pasado por estos dias me la pasaba con amigos o leyendo pero ahora solo estoy en mi cama pulgar
anticipation	que hace de copiloto pensativo
disgust	mira a la hora que se despierta mi hijaaaa recien veo que son y media pasadita ajajajaj frustrado
surprise	la actualidad del fandom ahora circulo alterados porque karol confirmo que va a ver tour para el siguiente ano desconcertado llama
joy	mi mejor amiga se tomaba todo con seven up hasta que le ensene a ligarlo con canada dry ahora nama e asi que bebe aliviado comiendo
sadness	aveces quisiera recibir un mensaje de mi papa en mis momentos dificiles diciendo no te preocupes princesa yo estoy contigo seria tan reconfortante relajado pero se que no pasara implorando
anticipation	que tanto te consideras una persona liberar sexualmente hablando pensativo para saberlo tienes que hacer una introspeccion y ver que tanto aceptarias probar nuevas tecnicas para explorar tus deseos siempre con tu consentimiento y practicando el sexo seguro
fear	esas ganas de un tremendo mananero y no tener con quien ansioso ansioso
anticipation	quiero ver a todos los posmodernos que defienden el genero como una construccion social defender que la raza es tambien construccion social cara
trust	comprar algo online y que te llegue al otro dia excelente servicio acuerdo
sadness	mi hermano mayor me dijo te amo voy a llorar implorando implorando pegan fuerte estas fechas relajado
disgust	te voy hacer ese pionono de roquefort que te gusta tanto frustrado no mi ciela no me gusta ese dia tenia hambre y te comia hasta a vos mi falta de expresion arruina mi salud mental y mi digestion
trust	yo acuerdo subir banda de escrachos a ig
anger	no me va hacer ninguna gracia que lo sepa maldad
surprise	el equipazo que le estan armando al nefasto ese asombrado
anticipation	sera mas populista petro o los que de la pasan hablando de petro y sin propuestas pensativo
sadness	termine the oc triste
joy	me he cambiado la fotito de perfil uoooo adorar
disgust	medios de comunicacion la salud mental es muy importante y debemos preocuparnos de ella en otro orden de cosas descubre que variante del coronavirus va a matarte segun tu signo del zodiaco frustrado
anticipation	a los cuantos anos me dejo de ver de pensativo
disgust	que ansiedad me da tener que hacer dos cosas a la vez frustrado
trust	por primera vez mi papa me puso de buen humor ok bien pulgar
sadness	que dolor escuchar las nv de los que ya no estan con nosotros desanimado
trust	ya tengo a toda la caverna calzadista rabiando por mis tuits de ayer un numero nutrido de ellos con perfiles individuales que pretenden parecer colectivos sin nombre propio sin su foto dan mazo la cara por lo que defienden su monopolio para ir en bici aprobacion
surprise	se copa la plaza el y el desconcertado
joy	todas mis primas con el carnet de conducir mi hermana con el practico y yo pa lo unico q sirvo es paea ir en la parte de atras de una moto relajado nervioso
fear	no he podido dormir pensando en la final ansioso ansioso ansioso
disgust	mientras haya salud frustrado
disgust	eu negro poneme algo que me motive a moverme una 9mm en la espalda es suficiente es muy temprano senora frustrado
anger	los diputados no pagan impuestos juegan con un fuego que a ellos no les quema maldecir
fear	todavia no dormi caminante
anticipation	realmente estas cumpliendo tus suenos pregunta seria pensativo
trust	buen dia para todo el mundo mundial happy wednesday bandera pulgar aprobacion
anger	detesto q me acorda cabreado
disgust	estoy enfadado con la existencia hoy exploto a la minima frustrado
sadness	este ano he echado de menos montar el arbol con cristina triste
sadness	bueno yo tmb me voy y lo mas probable es que vuelva despues de nuevo ano asi que les deseo un feliz ano y gracias por ser parte de mi decepcionado
anger	cansada de levantarme todos los dias a las cabreado agradecido
surprise	uy ya tengo una novia avergonzado avergonzado
anticipation	me gustaria que alguien corrija la pronunciacion pensativo hmmm
joy	verde me ha tocado la loteria verde de teneros en mi vida bebes amistoso
joy	joder pedrito lo q mientes
surprise	mi tia me desbloqueo el celular g estaba jungkook motoquerp me quede asi avergonzado avergonzado avergonzado avergonzado
disgust	una alegria pido nada mas frustrado
anticipation	quien corre mas rapido pensativo
joy	buennnn dia sonriendo
anger	que linda hora para ir a la dentista enfadado
surprise	me da miedo todo avergonzado
