etiqueta	texto
sorpresa	Buen profesor, genera confianza en el grupo.
sorpresa	Explicación claray comprensible
sorpresa	buena profe
sorpresa	Que se expliquen mas a fondo los contenidos.
sorpresa	Posee un muy buen dominio de la asignatura.
sorpresa	Usar más material didactico
sorpresa	Sin comentarios
sorpresa	buen académico, solo falta hacer ejercicios que clarifiquen las ideas.
sorpresa	no estoy segura si es mi profe de lab
sorpresa	excelente profesora, pero deberia respetar los plazos para la entrega de notas de las evaluaciones
sorpresa	buena profesora y lider
sorpresa	pedir un poco de asistencia a sus alumnos ya que creo que esa es la causa de las tan bajas notas en todos los ramos
sorpresa	es chistoso
sorpresa	Realizar la clase de forma mas lenta
sorpresa	Muy buena profesora
sorpresa	excelente profesora, comprensiva y con mucha energia y ayuda a sus alumnas
sorpresa	una buena profesora
sorpresa	Desarrolla la clase con dominio de los temas pero, a veces no es totalmente clara a la hora de explicar consultas realizadas por alumnos.
sorpresa	usa buen material, pero lamento decir que no mostraba mucho dominio sobre la materia
sorpresa	buen profesor pero en los laboratorios pierde mucho tiempo conversando en vez de realizar bien las actividades
sorpresa	Enseño super bien la materia.
sorpresa	enseñar mas programacion de diseño
sorpresa	más compromiso
sorpresa	Buena profesora
sorpresa	Dominador de la materia nada que decir pero yo no le entiendo nada al igual que otros compañeros , como critica constructiva que los ejercicios lo haga paso a paso ya que algunos quedamos con duda cuando se saltaba pasos.
sorpresa	motiva al estudiante con la asignatura. Gracias!
sorpresa	Escasa retroalimentación después fe una evaluación.
sorpresa	Sería positivo tener un mayor orden en el desarrollo de ejemplos
sorpresa	Es una asignatura esencial para lamformación del estudiante
sorpresa	buen profesor. conocedor del tema
sorpresa	Domina muy bien la asignatura, pero falta más motivación y además que sea puntual en las clases
sorpresa	Cercania con los estudiantes
sorpresa	Considero que en ocaciones le hace falta mas empatia con los estudiantes. Tambien considero que es imparcial para evaluar y tratar a los alumnos.
sorpresa	Es un poco enredado para enseñar
sorpresa	fue muy buena la metodologia de este semestre de implementar Test cada 15 dias
sorpresa	buena disposición para enseñar
sorpresa	podria hacer sus clases mas entretenidas, utilizar mas evaluaciones distintas, ya sea trabajos, etc y no solo certamenes.
sorpresa	Un poco mas dinámico
sorpresa	buen profesor
sorpresa	buen profesor, falta más dinámica, es muy pasivo
sorpresa	Valoro mucho la preocupación de la profesora para formar buenas educadoras de párvulos.
sorpresa	La profesora maneja la clase correctamente
sorpresa	Que la profesora se enfoque más en ejercicios prácticos que más nos acerquen a la vida real.
sorpresa	Realiza rutinas de ejercicios un poco exigentes o inadecuadas para el nivel de los estudiantes.
sorpresa	Buena profesora, muy irresponsable.
sorpresa	Muy buen profesor. A pesar de la complejidad de la materia trataba de explicarla de manera mas sencilla.
sorpresa	siga así
sorpresa	clases muy didácticas y entretenidas de ver
sorpresa	sugiero realizar mas ejercicios prácticos y  crear una identidad como profesor
sorpresa	El profesor domina muy bien sus conocimientos, se le entiende la materia y es dinamico en sus clases
sorpresa	Clases mas interactivas
sorpresa	Excelente profesional, faltan profesores de este standar en la escuela de trabajo social
sorpresa	el profesor no es consistente en sus respuestas sobre contenidos estudiados, dando distintas respuestas a los estudiantes para una misma pregunta. en las evaluaciones considera una definicion erronea aunque esta este definida en el libro, entre otros.
sorpresa	Muy buen profesor, explica claramente los objetivos y contenidos, no se me ocurre una sugerencia por el momento
sorpresa	Explica bien a pesar de la complejidad de la asignatura
sorpresa	Explica muy bien los contenidos, lo único que me hacia sentir incomoda era que las clases las terminaba el ayudante a veces.
sorpresa	Ninguna sugerencia.
sorpresa	muy comprometido
sorpresa	excelente profesor con el cual se crea un ambiente muy grato en sus clases, incita a la participación de los alumnos en su clase.
sorpresa	siempre me gusto asistir a sus clases, por el motivo de que el porfesor sabia llevar bien sus clases y con esto hacia que el estudiantado pudiera estudiar con mas ganas su materia.
sorpresa	Excelente profesor, buena didactica para realizar las clases
