sadness	alguien mas hoy de diciembre que no tiene nada pronto para navidad sera que quedare sin comida desconcertado
joy	me ha tocado en la loteria de navidad pfff podre tapar un par de agujeritos tontos fiesta fiesta confeti confeti cava
disgust	me sale la barba antes que el gordo me caguen diez frustrado
disgust	que mania la de levantarme temprano innecesario frustrado
anger	q bronca despertarme antes de que suene la alarma maldecir
joy	no me lo puedo creer me ha tocado me ha tocado seguir siendo igual de sexy otro ano mas fiesta
disgust	no me lo creo me ha tocado me ha tocado me ha tocado la desgracia de ser del athletic club comparte en tu muro si a ti tambien rojo blanco rojo billete
anticipation	esperando mi visita cara
surprise	amor aller cuando estaba con tigo senti que algo en mi se rompio hay mi amor q lindo y si cuando revise fue el condon eh aterrado
surprise	como ese tremendo bebe estaba dentro de una panza desconcertado
sadness	hace como dias que no como bien y hace como una semana que no duermo nada asi estoy caminante
disgust	aunque se madrugue hay trafico maldecir
disgust	maldito aire acondicionado me levanto resfriada todas las mananas cabreado
sadness	que yo deberia haber ido al instituto de a pq es el ultimo dia de clases y me acabo de levantar ahora a las vale miedoso
joy	que rica siesta me he mimido implorando relajado
anger	sino nag qrt enfadado enfadado enfadado enfadado enfadado
disgust	la vecina esta fumando marihuana no me molesta pero me dejo el depa pasado y estoy con los ninos tuve que cerrar las ventanas y puta el calor desanimado
joy	taewoo va a debutar triste no crei el rumor pero agradezco sea cierto me gustaban los integrantea del grupo y el era muy lindo con los demas y gracioso relajado estoy feliz
disgust	quisiera hablar idioma gato pa decirle a mi gata que no me gustan las ratas vivas ayer la deje que durmiera conmigo y hoy me trae una frustrado
anticipation	si una mujer te favea un tuit es que quiere garchar con vos pensativo
fear	no estoy preparada pero eso les da igual pulgar
surprise	los madridistas rabiando porque ayer expulsan a kounde por agredir a alba avergonzado alguien me lo puede explicar
anger	viste cuando dicen hoy no es mi dia buenooo hoy no es el mio enfadado
joy	ya vieron que en mubeat pusieron a way que no fue promocionada asi que espero esten juntando votos pq nunca sabemos que puede pasar ademas el stream no es un dia pulgar
joy	le regale loteria de navidad a jordi ahora tenemos para irnos a comer aliviado
sadness	como que nadie me hizo ensalada de manzana triste
trust	trabajando en los ultimos pedidos antes de navidad navidad muchisimas gracias por vuestra confianza a la hora de encargarme vuestros regalitos envoltorio deseo os guste el resultado y deseo que paseis una felices fiestas brindar bengala abrazos gigantes negro ꕥ terapias y artesania link in bio
sadness	broma pesada a mi trabajo un para distraerme triste triste triste triste
sadness	nos debemos la despedida desanimado
surprise	dique temblo en ei sitio cara
anger	consejo del dia cierren el put ciclo y sean felices adorar con mucho amor les digo
anticipation	alguien mas quiere vender su entrada de la gran navidad frustrado
disgust	ahora nadie me contesta enfadado
disgust	ay por dios que nadie me dirija la palabra hoy estoy infumable frustrado
disgust	marico la novia de mi cunado cada vez que la veo lo unico que hace es quejarse de que el carajo no le para bolas triste amiga ese hombre no es que sirva mucho
surprise	quien me entiende ahora estoy feliz frustrado
sadness	me caga enfermarme porque no me puedo besukiar a mi novio triste
joy	uy ya tengo una novia avergonzado avergonzado
trust	vamos a por el carnet de moto divertido
surprise	en que momento paso todo tan rapido hoy estamos haciendo ano y meses ya aterrado
disgust	tengo muchisimo sueno pero no puedo dormir bosteso como una hipopotamo
sadness	no tengo permiso de mi papa aun pensativo
sadness	oigannn nunca se crean el ya voy llegando y menos de mi avergonzado
joy	buenos dias mundo cara
disgust	estos aviones uras hacen mucho ruido xq pasan por arriba del techo maldecir
surprise	hoy por fin voy a ver spiderman avergonzado
sadness	aveces quisiera estar pequena y disfrutar de la navidad triste
disgust	y ahi quedaste pu le pusiste mas color y ahi quedaste frustrado
disgust	lo que me ha costado estar bien toda una semana tu lo jodes solo en un dia lo tuyo es un don frustrado
anger	trabajo en la cocina y solo tengo un ventilador de techo que tira mas calor el proximo que entre y diga que calor o no tenes calor lo apunalx minimo un tiro en la rodilla maldecir
joy	chismear con julia fue lo mejor aprobacion
surprise	el covid dijo pero como que volvi no entiendo si yo nunca me fui cara
disgust	como cuesta seguir trabajando asi con tantas injusticias todos ahora con cuna politica enfadado enfadado enfadado
surprise	como va a ser el sorteo de la loteria hoy si yo no he visto ni el anuncio aterrado aterrado
fear	temblo duro en santiago cara
sadness	loco puede ser que disney haga peliculas tan profundas me van a matarrrr triste triste
