tristeza	Al menos dos policías muertos y cinco heridos en emboscada guerrillera en Perú (policía)
confianza	Rey Juan Carlos preponderante en la vinculación con Iberoamérica (presidente de Honduras)
confianza	La Real Sociedad agradeció el compromiso y profesionalismo de Claudio Bravo
confianza	Cher es reconocida por su trabajo en favor de los portadores de VIH
alegria	"Enamorados recrean escenas de ""Diario de una pasión"" para celebrar su compromiso"
ninguna	La vida del abogado que tiene entre las cuerdas a Los Pelambres
ninguna	Juncker aspira presidir Comisión, institución que declinó pilotar en 2004
confianza	"Aerolínea brasileña Gol reinicia vuelos a Chile con modelo de negocio de ""bajos precios"""
anticipacion	Presidentes de clubes que deseen ir al Mundial deberán pagar más de $2 millones a la ANFP
aversion	Ciudad sede del Mundial sufre una ola de saqueos en medio de la huelga policial
anticipacion	Pintura de Warhol casi fracasa en subasta y finalmente se vende en 9,3 millones de dólares
confianza	eBay lanza sitios en español y portugués para aumentar ventas en A. Latina
sorpresa	Cartuchos extremos: escuela de Utah photoshopea anuario para que alumnas muestren menos piel
tristeza	México: se mantienen las protestas y críticas a Peña Nieto por el caso de los 43 estudiantes normalistas desaparecidos
ninguna	Aplazada hasta octubre la VIII Cumbre de Unasur por cuestiones de agenda
aversion	Desconocidos roban psicotrópicos desde un centro de salud mental en Osorno
ninguna	Los números de Bofill en el 13: últimos tres meses en el cuarto lugar del rating
ninguna	Agenda internacional del jueves 28 de agosto
confianza	Piñera emplaza al gobierno a que “en lugar de enviar a cinco ministros a descalificar, aprenda a escuchar”
confianza	Energía obtenida del viento: Investigador chileno estudia cómo reducir costos de generación
anticipacion	Líder prorruso pide unión de la región ucraniana de Donetsk con Rusia
confianza	Rápidos y furiosos 7 cumple con los pronósticos y arrasa en la taquilla internacional
sorpresa	Seis homosexuales marroquíes condenados a penas de hasta 3 años de cárcel
ninguna	El presidente iraquí Talabani, un mediador pragmático
aversion	Cura Joannon sigue sin pedir perdón a las víctimas a un mes de vencido el plazo
ninguna	Spurs toman ventaja 3-2 y podrían definir la final del oeste este sábado
tristeza	Adolescente muere atropellado mientras rayaba bus con spray en Quinta Normal
confianza	Argentinos se preparan para masiva marcha por muerte de fiscal
sorpresa	Aerosmith cancela concierto en Californa por problemas cardíacos de su baterista
confianza	"Yoani Sánchez lanzará el 21 de mayo ""14ymedio"", su nuevo periódico digital"
confianza	"EEUU exhorta a Ucrania a mostrar ""mesura"" frente a los rebeldes"
ninguna	Cielo nublado y 13 grados se prevé para este jueves en la capital
anticipacion	Presentan al primer orangután más puro genéticamente de América
anticipacion	Brasil niega que Snowden realizara un pedido formal de asilo
miedo	FARC advierten que quien rompa proceso de paz pagará un coste político enorme
anticipacion	Lagos: el partido del orden ya tiene candidato
ninguna	Del Bosque mantiene la confianza en Piqué y Diego Costa en nómina de España
sorpresa	Más de 300 mil chilenos tienen su cédula de identidad vencida: vigencia dura hasta el 30 de septiembre
confianza	Canciller panameña pide reducir tensiones entre EE.UU. y Venezuela
ninguna	Programación de la 15ª fecha de la Primera B
anticipacion	El orangután más puro genéticamente de América vivirá en Chile
sorpresa	"Astrónomos descubren al ""Godzilla"" de los planetas que orbitan estrellas lejanas"
ninguna	Ojo de Halcón se estrenará en la final de la Copa Italia entre la Juventus de Vidal y la Lazio
anticipacion	Baja adhesión en marcha tras paro fallido del Transantiago
confianza	Meteorología confirma que en las próximas horas comenzará a llover en la cima del volcán
miedo	Irak: ¿es solo extremismo lo que alimenta a ISIS?
ninguna	Matthews se mantiene al frente de un lluvioso Giro
confianza	Inauguran exposición que rescata los 135 años de las telecomunicaciones en Chile
anticipacion	Diputada Sabat solicita explicaciones al Gobierno por cancelación de Fono de atención y apoyo a la Maternidad
ninguna	Supremo de EEUU rechaza el caso de Alan Gross contra el Gobierno
ninguna	"Manga ""Ataque a los titanes"" llegará a la televisión nipona en acción real"
alegria	Manuel Pellegrini, el “encantador” que hizo historia en el fútbol inglés
anticipacion	Descubrimiento de una estrella entrega datos sobre el origen de los misteriosos magnetares
anticipacion	"Filtran imágenes de la filmación de ""Star Wars"" Episodio VII"""
aversion	"Andrade por dichos de Evo Morales: ""Él construye enemigos, es como el matón del barrio"""
confianza	España condena la lapidación de una mujer embarazada en Pakistán
aversion	El presidente de RN tras la reunión con Bachelet: “Nos inquietan las negociaciones paralelas”
alegria	Dólar se transa a la baja ante positivo desempeño de mercados externos
ninguna	"Gerardo Martino fue presentado en la selección argentina ""donde siempre quise estar"""
confianza	Cobre extiende avances y alcanza su mayor nivel en más de 4 meses
tristeza	Fin de semana largo termina con 20 personas fallecidas en accidentes de tránsito en el país
anticipacion	"Jefe de propaganda de Tíbet promete ""sellar"" internet para frenar a separatistas"
ninguna	Inédito acuerdo en el sector Salud para flexibilizar los requisitos de la prueba Eunacom
confianza	Felipe Aguilar cierra bajo el par la primera jornada del Nordea Masters en Suecia
anticipacion	La selección española grabó un video de su concentración con Google Glass
ninguna	Bachelet: el valor de la derrota
confianza	Servicio de Salud Arica realiza operativos en terreno atendiendo usuarios con problemas de visión
anticipacion	Acciones de Latam Airlines anotan fuerte caída tras inesperadas pérdidas el primer trimestre
anticipacion	Squella (UDI): Aprobación en bloque de reforma tributaria ilustra falta de diálogo del Gobierno
anticipacion	Intendencia decreta alerta ambiental para Santiago
tristeza	Asesinato de joven chilena en Argentina: sospechoso es investigado como atacante serial
ninguna	"Obama cree que Hillary Clinton sería ""muy eficaz"" como presidenta"
anticipacion	"Andrade espera que senadores oficialistas den un respaldo ""unívoco"" a la reforma tributaria"
tristeza	Carles Puyol, el gran líder le dice adiós al Barcelona y camina hacia el retiro
ninguna	"Protagonista de ""The Vampire Diares"" revela qué haría si fuera realmente un vampiro"
sorpresa	Llega a Ecuador, acusado de violación, el padre del vicepresidente del país
tristeza	Actualización Permanente: Colegio de Profesores inicia marcha en el marco del paro nacional
sorpresa	Falso aviso de bomba obliga evacuación de colegio Hebreo de Viña del Mar
confianza	Ministro Undurraga inspecciona obras del Plan de Invierno en el Gran Santiago
ninguna	CorreosChile presenta oficialmente la estampilla del Mundial de Fútbol 2014
anticipacion	Maduro anuncia que Sánchez Arveláiz irá como encargado de negocios a EE.UU.
aversion	Bachelet pide no “linchar” y destruir la honra de nadie antes de tiempo por arista SQM
anticipacion	Astronautas de la EEI vuelven a la Tierra en medio de tensión entre Rusia y EE.UU.
anticipacion	Catar anuncia reformas para permitir a inmigrantes salir del país sin permiso
