etiqueta	texto
agresivo	'mira maraca re culia lo unico que te tengo que decir si vo queri pelea yo te voy a darte pelea porque vo a mi no me veni a insultar lacra conchetumare porque yo soy ma via que vo y ma lista escuchaste asi que no me vengai a decir ninguna palabra ma o si no te la vai a irte via'
agresivo	'Quien chucha fue la que pario a esta mierda de mujer '
agresivo	'Huachafa es esto A ella le han dicho putabipolarlocazorravete a peruindigenaeres una mierdaetcy podria seguir con las barbaridades que le han dicho a Miriam Entre las personas que han dicho eso esta AngelAurahMonicaSuso estan los videos'
agresivo	'Aca hay mas parques (electricos) que creo Bachelet para cuidar el el medio ambiente '
agresivo	'una ex companera de trabajo tiene 23 y tiene 3 HIJOS CONCHETUMADRE MARACA CULIA BAJATE DEL PICO'
agresivo	'Esta no le da ni pa feminazi… es una tonta weona a secas y punto No le suban la categoria'
agresivo	'Eres una puta barata sin duda alguna'
agresivo	'tipeja que utilizas a tu hijo Ojala jese te lo quite Eres una zorra Ya iras a vender tus polvos como lo hiciste con Kiko Rivera'
agresivo	'Lacras de mierda no se puede defender ni asesinos militares ni comunistamuch menos con plata de todos'
agresivo	'Esta perra la encontramos en la calle con su mochila persiguiendo a la produccion p…'
agresivo	'Ya callate perra'
agresivo	'Te pasaste pa mala lecheq tiene q ver una wea cn otra weona tonta '
agresivo	'ESTA CANCION VA DEDICADA A VO MARACA CULIA QUE ME CAMBIASTE POR UN WEON CON PLATA Vina2016'
agresivo	'Y por que son tan canallas de poner solo la fotografia de la ex Pdta Bachelet para ilustrar la noticia Es que acaso los demas ex Pdtes no reciben esa jubilacion MISERABLE PASQUIN'
agresivo	'VIEJA WEONA TONTA Y ENFERMA'
agresivo	'Pero si a teremarinovic el marido la tiene de vaca paridora no mas Es una vieja culia facha mas Aburrida'
agresivo	'Que bueno que tienes el instagram privado alguna huea que tengas cerrada maraca culia'
agresivo	'Kena Lorenzini Me suenaMe suenaaahhh ya me acorde Una weona loca mas'
agresivo	'La putita imputada por trepar a dependencias ajenas MaiteOrsini le presta la moto al mechero hijo de mechera'
agresivo	'Claramente Macarena tienes la cabeza con mierda sino vas a decir nada interesante mejor calla weona tonta'
agresivo	'La weona es tonta pero no le pongan color con la Violeta Eso es wea de gustos al fin y al cabo'
agresivo	'oye Alejandra Valle quien eres tu para criticar look si pareces vaca guatona culia descarada Chancha de mierda'
agresivo	'Prostituta es la Madre que te pario por tener semejante puta barata Grandisima cono e tu madre'
agresivo	'Mas hipocrita se ve KimberlyLoaiza mostrando una cara totalmente diferente en modo perra jaja que pinche oso'
agresivo	'maracaperrabuscate una vida o comprate una vida fea culia loser culia ahuena Vomitare'
agresivo	'Pacos qliaos ahi tiene a otra tonta weona en sus filas denle la PLR igual que al otro saco de weas '
agresivo	'ALEMISA MALDITA ERES UNA ZORRA DEVUELVEME ESO'
agresivo	'OYE A VER A QUIEN LE VENIS A DECIR VIOLENTO MARACA CULIA TONTA NO PODIS GENERALIZAR WEONA PATETICA QUE TE CREIS TE VOY A SACAR LA CHUCHA ME DAI PENA'
agresivo	'care caballo culia andai hablando weas maraca conchetumare'
agresivo	'Oye sapo/ sapa culia enfermos del re pico den la cara cobardes culiaos Tan tan hijos de perra son  den la cara mongolicos CONCHETUMADRE que vienen a insultar asi porque son vacios y no saben que mas hacer en sus vidas perkines culiaos '
agresivo	'y los ciudadanos de a pieque hacemos Tenemos un payaso antichileno en el congreso'
agresivo	'Cuando era chico mi profe de religion me quito mis laminas del album Digimon y recorto en pedacitos a Kari Nunca mas me volvio a salir y solo me faltaron 3 laminas para completarlo Ahora ella me habla para un favor MYRIAM CULIA OLVIDALO NI PERDON NI OLVIDO MARACA'
agresivo	'Presidenta Bachelet visitaria este viernes la Araucania por primera vez en su mandato POR FIN SE DESPAILO'
agresivo	'que imbecil vieja culia'
agresivo	'Flavia culia fea maraca ctm COMO CAMBIAI A UN RUSIO RICO POR UN RUSIO METIZO EGOLATRA Y DESABRIDO pero con respeto '
agresivo	'No se por que aun sigo a esta weona tonta'
agresivo	'Con razon aparecio esta Rata de la Orsini defendiendo a Salamanca en el Mentiras Verdaderas'
agresivo	'Me cae bien Boric en general pero ahora esta cagando heavy fuera del tiesto'
agresivo	'Cual es el aporte de esta weona a la sociedad Dividir aun mas el pais Tonta culia '
agresivo	'Ubicate tonta rechuchetumare anda a un psiquiatra fea culia enana y la conchetumare porque te sacai los tacos y pareci maraca e tacataca'
agresivo	'Ese va a ser el sello de mi Gobierno dejar una democracia mas transparente etica y legitima — Presidenta Bachelet'
agresivo	'Que perra que perra que perra mi amiga '
agresivo	'No weona no es bacan decir ojala me viole o me lo violaria no por ser mujer hay que rebajarle la importancia a tus palabras y te lo dejo claro altoque pareci tonta culia enferma hablando de esa manera sabiendo lo grave que son tus palabras'
agresivo	'Mi amigo Pedro* es mi amigo de mio perra asquerosa conseguite otro amigo no se puede juntar con vos los gatos y los perros se llevan mal ndeah'
agresivo	'IGUAL TE VOY A SACAR LA CONCHETUMARE EN LA PLAZA TE TIENEN DE PAÑUELO MARACA CULIA'
agresivo	'Oye igual no deja de enojarme q con nuestros impuestos le pagamos el motel'
agresivo	'Maldita perra asquerosa me cortaste en tu foto de perfil'
agresivo	'me carga que mi hermana discuta con su pololo porque se desquita conmigo despues hdkdnd la weona loca ah'
agresivo	'Maldita loca estupida tan parecida a los politicos rastreros mirale en medio de los que se le salido la lengua de hablar disparates lleva el mismo fin Cesar Medina'
agresivo	'Perra rata asquerosa solo de verla me da nauseas como se atreve TRAIDORA una mas q es cadaver politico'
agresivo	'Y ese pelo de puta barata que'
agresivo	'Esta maraca culia termina con su pololo y viene corriendo a hablarme que wea se cree'
agresivo	'Mi ex va al gym pero nunca hace cardio porque esa maraca culia no tiene corazon'
agresivo	'maraca culia pero weona que te ha echo  nada wn pero es maraca igual '
agresivo	'OYE TONTA WEONA Y NO TE DUELE EL CORAZON CON LOS NIÑOS DEL SENAMEAAAH VERDAD QUE ERES ABORTERA ASESINA PERO SI AVALASA LOS DELINCUENTESENCACHAITA LA WEA'
agresivo	'Jaajjsjaja que es hueona me bloquea y me psicopatea por el instagram de la amiga  si no me voy a robar a tu huea de pololo tonta ql '
agresivo	'Quien te dijo que Esteban es homofobico Lo conoces acaso weona tonta'
agresivo	'maraca culia me gaste todo el saldo de la junaeb con voh y ahora ando cagao de hambre teee odioooooooo'
agresivo	'Que es care raja la guatona culia ajajaja'
agresivo	'Y bueno mamita quien te manda a tener una wacha tan perra'
agresivo	'Al igual que Bachelet me hice poderoso sin hacer nada'
agresivo	'Estamos haciendo un taller y mi companera me pregunta cual es la 2 y le dije que la B po y la weona me dice B de vaca JFKKSKF QUE ESTAI HABLANDO INDECENTE CULIA'
agresivo	'La puta mas barata del fujimorismo es usted sra de Condorito'
agresivo	'VETE A LA CONCHETUMADRE PERRA DE MIERDA'
agresivo	'Sobre todo con bachelet amiga de asesinos y dictadores De ladrones tambien '
